Year,mean,std
2000,-5.96561855670103,1.8796986485166698
2001,-6.1689897959183675,2.635382518822146
2002,-5.757616161616162,2.016912723148268
2003,-6.050275510204082,2.6783444793595383
2004,-5.891775510204082,2.2223818583543467
2005,-5.962635416666667,2.2640083555722312
2006,-5.730556701030928,1.8037251324751056
2007,-5.540704081632653,2.157298105898934
2008,-5.5185699999999995,1.7242768020245471
2009,-5.11615,1.7790122521878098
2010,-5.219505154639175,1.8200199239048607
2011,-5.080343434343434,2.0375902742571355
2012,-5.619484848484848,2.622045094350764
2013,-5.800663265306123,2.3245624571948027
2014,-5.74091,2.2685151068040037
2015,-5.90008,2.1689999822103
2016,-6.35227,2.496650223901028
2017,-5.97701,1.8318011365700686
2018,-5.799949494949495,1.957263939808904
2019,-6.409454545454545,2.5276137624440316
2020,-6.38531,1.9633222189066488
2021,-6.455795918367347,1.9881583560277492
