#;Artist;Lead Streams;Feats;Tracks;1b;100m;10m;1m;Update
1;Drake;45930207058;17624649510;248;6;117;241;244;11.04.22
2;Ed Sheeran;35009165977;2537534050;222;10;59;166;200;11.04.22
3;Bad Bunny;33838992346;4440723306;141;3;89;134;140;11.04.22
4;The Weeknd;30759273612;3858847246;178;6;69;143;161;11.04.22
5;Ariana Grande;30199885343;1934573510;181;5;69;126;175;11.04.22
6;Justin Bieber;29483883662;10391249275;222;6;55;169;194;11.04.22
7;Taylor Swift;27839517025;386434032;319;1;76;246;309;11.04.22
8;Eminem;27803863084;3899986002;279;3;60;222;259;11.04.22
9;Post Malone;27472535195;2285274498;82;8;54;65;66;11.04.22
10;BTS;24789404457;190636034;253;1;88;200;253;11.04.22
11;J Balvin;24110821085;9328411237;236;2;64;139;217;10.04.22
12;Kanye West;22791750773;5281780276;238;0;59;191;220;10.04.22
13;Billie Eilish;21436789653;0;62;4;41;57;61;11.04.22
14;Juice WRLD;21084148801;3070357742;117;2;57;112;116;07.04.22
15;Coldplay;20064349540;83951243;301;4;31;167;277;11.04.22
16;XXXTENTACION;19953049106;2493987810;131;7;42;104;122;11.04.22
17;Ozuna;19838901919;7116656020;210;1;49;149;192;09.04.22
18;Khalid;19690052960;2770172523;111;7;39;86;105;08.04.22
19;Dua Lipa;19665995562;315574672;193;6;33;80;162;11.04.22
20;Imagine Dragons;19596416938;60704229;146;4;39;108;128;10.04.22
21;Travis Scott;19184512661;8976056800;112;3;43;90;107;09.04.22
22;Rihanna;19118212868;6448851366;273;2;44;110;198;10.04.22
23;Maroon 5;18421351446;17393;238;5;30;108;195;03.04.22
24;Shawn Mendes;17706595827;42979744;126;4;33;94;123;11.04.22
25;David Guetta;17301771519;1108667832;663;1;44;134;373;03.04.22
26;Bruno Mars;16495189532;3561604711;79;5;31;61;75;09.04.22
27;Calvin Harris;16423757027;409710293;218;3;28;82;174;25.03.22
28;Daddy Yankee;16372877051;5217399600;358;3;39;92;226;10.04.22
29;Sam Smith;15908097736;267238623;139;4;30;81;133;11.04.22
30;Queen;15267897543;32075239;557;4;23;90;401;11.04.22
31;Kendrick Lamar;15193196132;8082462716;103;1;32;91;97;10.04.22
32;The Chainsmokers;14713014424;388034092;180;3;25;75;152;10.04.22
33;One Direction;14224545475;924541;124;0;42;100;116;11.04.22
34;Chris Brown;14151255495;8078925713;396;0;36;187;327;11.04.22
35;Beyoncé;14014374647;1947194545;341;1;34;152;247;11.04.22
36;Future;13907376067;8519221207;461;1;26;207;340;31.03.22
37;Nicki Minaj;13652515491;10387291831;165;2;31;113;155;11.04.22
38;Lady Gaga;13569697066;88138257;306;1;26;105;193;11.04.22
39;J. Cole;13531889166;3016205291;138;1;36;110;136;11.04.22
40;Halsey;13235073985;1441182986;155;3;23;96;129;02.04.22
41;Anuel AA;13141088110;4262187013;156;0;32;120;147;03.04.22
42;Selena Gomez;13137004075;1965183706;137;3;23;80;123;10.04.22
43;Adele;12995508731;33812699;70;3;24;59;69;11.04.22
44;The Beatles;12879429104;0;790;0;32;178;445;11.04.22
45;Sia;12764364577;4200928972;317;2;25;104;228;08.04.22
46;Maluma;12595621404;5536045527;186;0;33;126;179;03.04.22
47;Twenty One Pilots;12230092784;0;90;3;34;74;86;11.04.22
48;Marshmello;12078260875;545955313;143;4;17;83;133;09.04.22
49;Lil Uzi Vert;11981431319;5781096063;129;1;30;117;128;03.04.22
50;Linkin Park;11971854986;45680007;346;2;29;108;278;10.04.22
51;Kygo;11824039530;1083672421;102;1;28;85;100;28.03.22
52;Katy Perry;11790544283;1007321799;180;0;30;83;141;03.04.22
53;Avicii;11752200960;489496761;242;2;18;88;156;10.04.22
54;Farruko;11070271437;6143025168;338;0;28;115;283;16.03.22
55;Lana Del Rey;10951443262;663001142;162;0;31;112;151;11.04.22
56;Camila Cabello;10718386609;2089988937;60;2;23;43;49;11.04.22
57;Rauw Alejandro;10553379609;1652204158;174;0;30;93;143;11.04.22
58;Jason Derulo;10433795943;681434209;191;0;27;65;130;10.03.22
59;Red Hot Chili Peppers;10027640259;0;264;0;17;114;218;11.04.22
60;Demi Lovato;9924524430;1309246187;233;0;23;89;188;08.04.22
61;Arctic Monkeys;9900617575;2358127;133;1;18;86;133;10.04.22
62;Shakira;9536364233;1118941544;230;0;22;84;195;11.04.22
63;Doja Cat;9505582577;1592396075;81;1;22;61;75;11.04.22
64;Nicky Jam;9266294031;8492374094;228;0;26;86;154;29.01.22
