"#","Cover","Artist","Title","Streams","Daily","Year"
"1","","Ed Sheeran","Shape of You","3,568,884,811","957,825","2017"
"2","","Ed Sheeran","Perfect","2,992,732,560","1,391,839","2017"
"3","","Luis Fonsi","Despacito","2,977,102,893","693,132","2017"
"4","","The Weeknd","Blinding Lights","2,974,748,777","1,730,130","2019"
"5","","Tones And I","Dance Monkey","2,576,954,079","799,995","2019"
"6","","Post Malone","rockstar (feat. 21 Savage)","2,442,258,154","651,617","2017"
"7","","Lewis Capaldi","Someone You Loved","2,407,449,362","1,010,391","2018"
"8","","Lil Nas X","Old Town Road","2,368,821,828","735,043","2019"
"9","","Billie Eilish","bad guy","2,351,448,849","745,628","2019"
"10","","The Chainsmokers","Closer","2,342,653,508","725,751","2016"
"11","","Post Malone","Sunflower - Spider-Man: Into the Spider-Verse","2,320,358,447","1,017,574","2018"
"12","","Drake","One Dance","2,283,984,373","813,571","2016"
"13","","Imagine Dragons","Believer","2,183,522,446","1,134,876","2017"
"14","","Travis Scott","Goosebumps","2,172,353,792","1,173,687","2016"
"15","","Shawn Mendes","Señorita","2,111,427,951","766,734","2019"
"16","","James Arthur","Say You Won't Let Go","2,031,379,529","755,648","2016"
"17","","John Legend","All of Me","2,024,534,234","808,785","2013"
"18","","Ed Sheeran","Thinking out Loud","2,006,970,298","581,234","2014"
"19","","Camila Cabello","Havana (feat. Young Thug)","1,991,635,257","462,969","2017"
"20","","Sia","Cheap Thrills","1,965,179,689","617,993","2016"
"21","","Dua Lipa","Don't Start Now","1,940,662,741","1,047,201","2019"
"22","","Juice WRLD","Lucid Dreams","1,930,195,417","736,353","2018"
"23","","Drake","God's Plan","1,923,576,416","537,999","2018"
"24","","The Chainsmokers","Something Just Like This","1,917,543,009","893,220","2017"
"25","","Ed Sheeran","Photograph","1,897,898,743","740,935","2014"
"26","","Queen","Bohemian Rhapsody","1,882,588,704","911,004","1975"
"27","","The Weeknd","Starboy","1,872,671,400","759,434","2016"
"28","","Dua Lipa","Levitating (feat. DaBaby)","1,862,168,252","2,134,654","2020"
"29","","Imagine Dragons","Thunder","1,846,506,402","675,085","2017"
"30","","Kendrick Lamar","HUMBLE.","1,836,247,300","687,456","2017"
"31","","XXXTENTACION","SAD!","1,810,596,962","591,149","2018"
"32","","The Chainsmokers","Don't Let Me Down","1,801,040,912","448,067","2016"
"33","","Dua Lipa","New Rules","1,794,655,828","497,317","2017"
"34","","Justin Bieber","Sorry","1,778,883,252","973,243","2015"
"35","","Hozier","Take Me to Church","1,776,646,932","850,182","2013"
"36","","Lady Gaga","Shallow","1,775,599,540","734,746","2018"
"37","","SAINt JHN","Roses","1,773,965,850","655,978","2018"
"38","","Justin Bieber","Love Yourself","1,770,938,163","748,064","2015"
"39","","Alan Walker","Faded","1,761,179,696","513,613","2015"
"40","","Billie Eilish","lovely (with Khalid)","1,759,553,236","1,082,656","2018"
"41","","DJ Snake","Let Me Love You","1,743,223,209","622,577","2016"
"42","","The Weeknd","Save Your Tears","1,723,120,625","2,650,488","2020"
"43","","Travis Scott","SICKO MODE","1,722,131,142","514,958","2018"
"44","","Passenger","Let Her Go","1,716,982,435","763,827","2012"
"45","","Marshmello","Happier","1,714,910,313","566,049","2018"
"46","","Ariana Grande","7 rings","1,714,186,997","654,156","2019"
"47","","Ed Sheeran","I Don't Care (with Justin Bieber)","1,709,965,992","578,410","2019"
"48","","Post Malone","Circles","1,707,026,993","822,937","2019"
"49","","The Kid LAROI","STAY (with Justin Bieber)","1,705,140,245","3,162,815","2021"
"50","","Harry Styles","Watermelon Sugar","1,702,999,013","1,659,730","2019"
