Position,Artist,Genre,Lead Streams,Featured streams,Tracks,1b,100m,10m,1m,Update,% Songs Streamed 1Million Times,% Songs Streamed 10Million Times,% Songs Streamed 100Million Times,% Songs Streamed 1Billion Times
1,Drake,Hip-Hop,"45,930,207,058","17,624,649,510",248,6,117,241,244,11.04.22,98%,97%,47%,2%
2,Ed Sheeran,Pop,"35,009,165,977","2,537,534,050",222,10,59,166,200,11.04.22,90%,75%,27%,5%
3,Bad Bunny,Latin Trap,"33,838,992,346","4,440,723,306",141,3,89,134,140,11.04.22,99%,95%,63%,2%
4,The Weeknd,R&B/Soul,"30,759,273,612","3,858,847,246",178,6,69,143,161,11.04.22,90%,80%,39%,3%
5,Ariana Grande,Pop,"30,199,885,343","1,934,573,510",181,5,69,126,175,11.04.22,97%,70%,38%,3%
6,Justin Bieber,Pop,"29,483,883,662","10,391,249,275",222,6,55,169,194,11.04.22,87%,76%,25%,3%
7,Taylor Swift,Country,"27,839,517,025","386,434,032",319,1,76,246,309,11.04.22,97%,77%,24%,0%
8,Eminem,Hip-Hop,"27,803,863,084","3,899,986,002",279,3,60,222,259,11.04.22,93%,80%,22%,1%
9,Post Malone,Hip-Hop,"27,472,535,195","2,285,274,498",82,8,54,65,66,11.04.22,80%,79%,66%,10%
10,BTS,K-Pop,"24,789,404,457","190,636,034",253,1,88,200,253,11.04.22,100%,79%,35%,0%
11,J Balvin,Reggaeton,"24,110,821,085","9,328,411,237",236,2,64,139,217,10.04.22,92%,59%,27%,1%
12,Kanye West,Hip-Hop,"22,791,750,773","5,281,780,276",238,0,59,191,220,10.04.22,92%,80%,25%,0%
13,Billie Eilish,Alternative/Indie pop,"21,436,789,653",0,62,4,41,57,61,11.04.22,98%,92%,66%,6%
14,Juice WRLD,Hip-Hop,"21,084,148,801","3,070,357,742",117,2,57,112,116,07.04.22,99%,96%,49%,2%
15,Coldplay,Alternative/Indie pop,"20,064,349,540","83,951,243",301,4,31,167,277,11.04.22,92%,55%,10%,1%
16,XXXTENTACION,Hip-Hop,"19,953,049,106","2,493,987,810",131,7,42,104,122,11.04.22,93%,79%,32%,5%
17,Ozuna,Reggaeton,"19,838,901,919","7,116,656,020",210,1,49,149,192,09.04.22,91%,71%,23%,0%
18,Khalid,R&B/Soul,"19,690,052,960","2,770,172,523",111,7,39,86,105,08.04.22,95%,77%,35%,6%
19,Dua Lipa,Pop,"19,665,995,562","315,574,672",193,6,33,80,162,11.04.22,84%,41%,17%,3%
20,Imagine Dragons,Alternative/Indie pop,"19,596,416,938","60,704,229",146,4,39,108,128,10.04.22,88%,74%,27%,3%
21,Travis Scott,Hip-Hop,"19,184,512,661","8,976,056,800",112,3,43,90,107,09.04.22,96%,80%,38%,3%
22,Rihanna,Pop,"19,118,212,868","6,448,851,366",273,2,44,110,198,10.04.22,73%,40%,16%,1%
23,Maroon 5,Pop,"18,421,351,446",17,238,5,30,108,195,03.04.22,82%,45%,13%,2%
24,Shawn Mendes,Pop,"17,706,595,827","42,979,744",126,4,33,94,123,11.04.22,98%,75%,26%,3%
